city,station_name,median_household_income_census_block,bucket
Chicago,Kedzie Ave & Lake St,9490,1
Chicago,Halsted & 63rd - Kennedy-King Vaccination Site,10814,1
Chicago,Damen Ave & Pierce Ave,11406,1
Chicago,Ogden Ave & Roosevelt Rd,12313,1
Chicago,Ashland Ave & 13th St,12313,1
Chicago,Central Ave & Lake St,13036,1
Chicago,MLK Jr Dr & 47th St,13177,1
Chicago,Stewart Ave & 63rd St,13450,1
Chicago,Wentworth Ave & 35th St,13625,1
Chicago,Cottage Grove Ave & 63rd St,13676,1
Chicago,State St & 29th St,13676,1
Chicago,Ashland Ave & 78th St,14188,1
Chicago,State St & Pershing Rd,14250,1
Chicago,Cottage Grove Ave & 78th St,15000,1
Chicago,Lavergne Ave & Division St,15315,1
Chicago,Altgeld Gardens,15523,1
Chicago,Eberhart Ave & 61st St,15881,1
Chicago,Perry Ave & 69th St,15893,1
Chicago,Houston Ave & 92nd St,15956,1
Chicago,Racine Ave & 13th St,16048,1
Chicago,Homan Ave & Fillmore St,16522,1
Chicago,Eberhart Ave & 131st St,16522,1
Chicago,Kedzie Ave & Roosevelt Rd,16522,1
Chicago,Stony Island Ave & 71st St,16536,1
Chicago,Cottage Grove Ave & Oakwood Blvd,16736,1
Chicago,S Wentworth Ave & W 111th St,16783,1
Chicago,Eggleston Ave & 69th St,16835,1
Chicago,Greenwood Ave & 79th St,17426,1
Chicago,Western Ave & Monroe St,17569,1
Chicago,Halsted St & 78th St,17841,1
Chicago,63rd St Beach,18411,1
Chicago,Kostner Ave & Lake St,18750,1
Chicago,Kedzie Ave & 21st St,18810,1
Chicago,Sacramento Blvd & Polk St,18952,1
Chicago,Conservatory Dr & Lake St,19042,1
Chicago,Halsted St & 59th St,19688,1
Chicago,Halsted St & 56th St,19688,1
Chicago,Calumet Ave & 35th St,19950,1
Chicago,Calumet Ave & 33rd St,19950,1
Chicago,Halsted St & 47th Pl,19975,1
Chicago,Western Ave & 62nd St,20160,1
Chicago,Maplewood Ave & 59th St,20160,1
Chicago,Seeley Ave & Garfield Blvd,20438,1
Chicago,Woodlawn Ave & 55th St,20509,1
Chicago,Central Ave & Madison St,20850,1
Chicago,MLK Jr Dr & 63rd St,20904,1
Chicago,Calumet Ave & 51st St,21065,1
Chicago,Cicero Ave & Quincy St,21250,1
Chicago,Leamington Ave & Hirsch St,21417,1
Chicago,Austin Blvd & Lake St,21865,1
Chicago,Indiana Ave & 103rd St,22018,1
Chicago,State St & 79th St,22188,1
Chicago,Indiana Ave & 133rd St,22454,1
Chicago,Glenwood Ave & Morse Ave,22484,1
Chicago,Racine Ave & Garfield Blvd,22500,1
Chicago,Throop St & 52nd St,22500,1
Chicago,Constance Ave & 95th St,22589,1
Chicago,Dauphin Ave & 87th St,22708,1
Chicago,Stony Island Ave & 75th St,22772,1
Chicago,Elizabeth St & 59th St,23173,1
Chicago,Vernon Ave & 79th St,23221,1
Chicago,Phillips Ave & 79th St,23431,1
Chicago,Pulaski Rd & Congress Pkwy,23571,1
Chicago,Wentworth Ave & 33rd St,23854,1
Chicago,Central Park Blvd & 5th Ave,24050,1
Chicago,Princeton Ave & Garfield Blvd,24122,1
Chicago,Ada St & 113th St,24219,1
Chicago,Warren Park West,24223,1
Chicago,Warren Park East,24223,1
Chicago,Clybourn Ave & Division St,24250,1
Chicago,May St & 69th St,24342,1
Chicago,Tripp Ave & 15th St,24474,1
Chicago,Central Park & Augusta Blvd,24549,1
Chicago,Kedzie Ave & 52nd St,24604,1
Chicago,Carpenter St & 63rd St,24741,1
Chicago,Racine Ave & 61st St,24741,1
Chicago,Racine Ave & 65th St,24861,1
Chicago,Broadway & Argyle St,25078,2
Chicago,Big Marsh Park,25244,2
Chicago,Torrence Ave & 106th St,25244,2
Chicago,Malcolm X College Vaccination Site,25469,2
Chicago,Damen Ave & Madison St,25469,2
Chicago,Phillips Ave & 83rd St,25580,2
Chicago,South Shore Dr & 71st St,25662,2
Chicago,Central Park Ave & Douglas Blvd,25707,2
Chicago,Maryland Ave & 104th St,25772,2
Chicago,California Ave & Lake St,25833,2
Chicago,Halsted St & 69th St,25850,2
Chicago,Wentworth Ave & 24th St (Temp),25948,2
Chicago,Paulina St & Howard St,25962,2
Chicago,Marshfield Ave & 59th St,26071,2
Chicago,Michigan Ave & 114th St,26094,2
Chicago,Rhodes Ave & 71st St,26154,2
Chicago,Central Ave & Harrison St,26250,2
Chicago,Marshfield Ave & 44th St,26434,2
Chicago,Sheridan Rd & Loyola Ave,26964,2
Chicago,Major Ave & Bloomingdale Ave,27049,2
Chicago,Sheridan Rd & Lawrence Ave,27169,2
Chicago,Kenton Ave & Madison St,27266,2
Chicago,Cicero Ave & Lake St,27266,2
Chicago,Latrobe Ave & Chicago Ave,27292,2
Chicago,Halsted St & 73rd St,27465,2
Chicago,Keeler Ave & Roosevelt Rd,27599,2
Chicago,MLK Jr Dr & 83rd St,27946,2
Chicago,Emerald Ave & 31st St,28042,2
Chicago,MLK Jr Dr & Pershing Rd,28125,2
Chicago,Ashland Ave & Garfield Blvd,28250,2
Chicago,Kedzie Ave & 24th St,28250,2
Chicago,Spaulding Ave & 63rd St,28315,2
Chicago,Rockwell St & 57th St,28750,2
Chicago,Albany Ave & 26th St,29135,2
Chicago,Laflin St & Cullerton St,29167,2
Chicago,Ashland Ave & 50th St,29329,2
Chicago,California Ave & 29th St,29375,2
Chicago,California Ave & 26th St,29375,2
Chicago,State St & 54th St,29495,2
Chicago,DuSable Museum,29495,2
Chicago,Prairie Ave & Garfield Blvd,29495,2
Chicago,Lamon Ave & Chicago Ave,29671,2
Chicago,Cicero Ave & Flournoy St,29688,2
Chicago,California Ave & Marquette Rd,29773,2
Chicago,Western Blvd & 48th Pl,29783,2
Chicago,Hoyne Ave & 47th St,29783,2
Chicago,Oglesby Ave & 100th St,29835,2
Chicago,Damen Ave & 51st St,29926,2
Chicago,Damen Ave & 59th St,30250,2
Chicago,Lincoln Ave & Balmoral Ave,30446,2
Chicago,Rainbow Beach,30564,2
Chicago,Komensky Ave & 31st St,30610,2
Evanston,Evanston Civic Center,30791,2
Chicago,South Shore Dr & 74th St,31148,2
Chicago,Cottage Grove Ave & 83rd St,31219,2
Chicago,Lockwood Ave & Wrightwood Ave,31250,2
Chicago,Ashland Ave & 63rd St,31331,2
Chicago,Cottage Grove Ave & 71st St,31440,2
Chicago,Jeffery Blvd & 71st St,31493,2
Chicago,California Ave & 23rd Pl,31607,2
