total_bikes,year,operator,ID,operator_type
0,2010,lyft,1,private
0,2011,lyft,1,private
0,2012,lyft,1,private
7523,2013,lyft,1,private
10434,2014,lyft,1,private
10434,2015,lyft,1,private
17717,2016,lyft,1,private
19861,2017,lyft,1,private
22895,2018,lyft,1,private
27134,2019,lyft,1,private
31268,2020,lyft,1,private
39341,2021,lyft,1,private
0,2010,bcycle,1,private
53,2011,bcycle,1,private
53,2012,bcycle,1,private
1121,2013,bcycle,1,private
1408,2014,bcycle,1,private
1488,2015,bcycle,1,private
2689,2016,bcycle,1,private
2855,2017,bcycle,1,private
3213,2018,bcycle,1,private
3405,2019,bcycle,1,private
3803,2020,bcycle,1,private
3630,2021,bcycle,1,private
0,2010,cyclehop,1,private
0,2011,cyclehop,1,private
0,2012,cyclehop,1,private
0,2013,cyclehop,1,private
300,2014,cyclehop,1,private
900,2015,cyclehop,1,private
1166,2016,cyclehop,1,private
1610,2017,cyclehop,1,private
2277,2018,cyclehop,1,private
1685,2019,cyclehop,1,private
1639,2020,cyclehop,1,private
24,2021,cyclehop,1,private
0,2010,non-profit/gov agency,1,non-profit/gov
0,2011,non-profit/gov agency,1,non-profit/gov
0,2012,non-profit/gov agency,1,non-profit/gov
1503,2013,non-profit/gov agency,1,non-profit/gov
1463,2014,non-profit/gov agency,1,non-profit/gov
2183,2015,non-profit/gov agency,1,non-profit/gov
3110,2016,non-profit/gov agency,1,non-profit/gov
3375,2017,non-profit/gov agency,1,non-profit/gov
3418,2018,non-profit/gov agency,1,non-profit/gov
1716,2019,non-profit/gov agency,1,non-profit/gov
2994,2020,non-profit/gov agency,1,non-profit/gov
3162,2021,non-profit/gov agency,1,non-profit/gov
0,2010,bicycle transit systems,1,private
0,2011,bicycle transit systems,1,private
0,2012,bicycle transit systems,1,private
0,2013,bicycle transit systems,1,private
0,2014,bicycle transit systems,1,private
0,2015,bicycle transit systems,1,private
871,2016,bicycle transit systems,1,private
1596,2017,bicycle transit systems,1,private
2462,2018,bicycle transit systems,1,private
2471,2019,bicycle transit systems,1,private
2533,2020,bicycle transit systems,1,private
2419,2021,bicycle transit systems,1,private
0,2010,corps logistics,1,private
0,2011,corps logistics,1,private
0,2012,corps logistics,1,private
0,2013,corps logistics,1,private
0,2014,corps logistics,1,private
0,2015,corps logistics,1,private
0,2016,corps logistics,1,private
0,2017,corps logistics,1,private
500,2018,corps logistics,1,private
830,2019,corps logistics,1,private
331,2020,corps logistics,1,private
662,2021,corps logistics,1,private
0,2010,social bicycles,1,private
0,2011,social bicycles,1,private
0,2012,social bicycles,1,private
0,2013,social bicycles,1,private
0,2014,social bicycles,1,private
50,2015,social bicycles,1,private
80,2016,social bicycles,1,private
0,2017,social bicycles,1,private
75,2018,social bicycles,1,private
69,2019,social bicycles,1,private
569,2020,social bicycles,1,private
694,2021,social bicycles,1,private
