Name,Value
1,6.629529053
2,5.277847907
3,5.024497803
4,7.948939186
5,9.237038796
6,5.478688225
7,6.137851942
8,6.38233063
9,7.778363964
10,5.719140007
11,5.217120487
12,5.761643043
13,6.972890389
14,6.146719444
15,9.462969845
16,6.575663831
17,7.238442978
18,7.738132645
19,7.668405262
20,7.405561765
21,9.53265424
22,7.586782853
23,6.176760737
24,5.345532652
25,3.542570095
26,3.277555954
27,5.240213162
28,5.712919637
29,6.78585084
30,8.798133007
31,7.788243314
32,7.51199945
33,6.71894919
34,6.133102377
35,4.849458538
36,5.979778286
37,7.808959795
38,8.249656203
39,6.670594553
40,7.309446651
41,4.897447661
42,5.544802704
43,4.748300456
44,4.677454649
